name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Cairo,Egypt",2023-01-01,20,12,16,20,12,16,11,73.7,0,0,0,,0,0,32.4,22.3,8.3,1021.4,42.8,8.7,138.3,11.9,6,10,2023-01-01T06:51:06,2023-01-01T17:05:59,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
"Cairo,Egypt",2023-01-02,21,12,15.8,21,12,15.8,10.6,73,0,0,0,,0,0,23,18.4,24.1,1020.3,17.1,6.8,144.5,12.4,6,10,2023-01-02T06:51:21,2023-01-02T17:06:42,0.34,Clear,Clear conditions throughout the day.,clear-day,"HECA,62366099999"
"Cairo,Egypt",2023-01-03,19,11,15.3,19,11,15.3,10.6,74.1,2,100,16.67,rain,0,0,32.8,14.8,329.7,1020.5,28,6,141.5,12.2,6,10,2023-01-03T06:51:33,2023-01-03T17:07:26,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HECA,62366099999"
"Cairo,Egypt",2023-01-04,19,13.9,15.9,19,13.9,15.9,12.1,78.5,0.4,100,16.67,rain,0,0,32,11.2,313,1021.2,50.4,6.2,142.5,12.3,6,10,2023-01-04T06:51:44,2023-01-04T17:08:10,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HECA,62366099999"
"Cairo,Egypt",2023-01-05,19,12,15.9,19,12,15.9,8.6,63.9,0,0,0,,0,0,22.7,13,262.7,1022.1,33.8,7.7,148.2,12.8,6,10,2023-01-05T06:51:54,2023-01-05T17:08:55,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
"Cairo,Egypt",2023-01-06,20,14.8,17.2,20,14.8,17.2,7.5,53.3,0,0,0,,0,0,23.4,14.8,235.3,1022.4,66.4,9,143.4,12.4,6,10,2023-01-06T06:52:01,2023-01-06T17:09:41,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
"Cairo,Egypt",2023-01-07,20,14,17.5,20,14,17.5,8.2,55.3,0,0,0,,0,0,18.4,9.4,263.9,1021.3,55.9,8.6,97.3,8.4,4,10,2023-01-07T06:52:07,2023-01-07T17:10:28,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HECA,62366099999"
"Cairo,Egypt",2023-01-08,20,14.8,17.5,20,14.8,17.5,8.1,54.4,1.8,100,12.5,rain,0,0,28.1,14.8,251,1017.4,54.5,7.8,127.1,11,6,10,2023-01-08T06:52:12,2023-01-08T17:11:15,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HECA,62366099999"
"Cairo,Egypt",2023-01-09,18,13,14.9,18,13,14.9,9.7,71.4,0.2,100,8.33,rain,0,0,21.2,18.4,215,1018.6,52.3,6.1,94.6,8.2,5,10,2023-01-09T06:52:15,2023-01-09T17:12:03,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"HECA,62366099999"
"Cairo,Egypt",2023-01-10,19,11,15.3,19,11,15.3,9.4,69.5,0,0,0,,0,0,13.7,9.4,129.5,1023.1,16.1,2.9,150.7,13.1,6,10,2023-01-10T06:52:16,2023-01-10T17:12:52,0.62,Clear,Clear conditions throughout the day.,clear-day,"HECA,62366099999"
